# S5a 季節曲線｜SEASON_LENGTH=129600｜SEASON_BASE=[1.1, 1.5, 1.2, 0.3]
## ① 連續性｜最大差=0.00000694|上界=0.00000694|worst_tick=259202|PASS
## ② 季界（t→1 vs 下季 t=0）｜季界tick|前值|後值|差
edge|0->1|129600|1.499997|1.500000|0.00000309|PASS
edge|1->2|259200|1.200002|1.200000|0.00000231|PASS
edge|2->3|388800|0.300007|0.300000|0.00000694|PASS
edge|3->0|518400|1.099994|1.100000|0.00000617|PASS
## ③ 錨點落在季首（未位移）｜PASS
#
## ④ 曲線取樣（每 1/8 季一點）｜tick|季|t|factor
curve|0|0|0.000|1.1000
curve|16200|0|0.125|1.1500
curve|32400|0|0.250|1.2000
curve|48600|0|0.375|1.2500
curve|64800|0|0.500|1.3000
curve|81000|0|0.625|1.3500
curve|97200|0|0.750|1.4000
curve|113400|0|0.875|1.4500
curve|129600|1|0.000|1.5000
curve|145800|1|0.125|1.4625
curve|162000|1|0.250|1.4250
curve|178200|1|0.375|1.3875
curve|194400|1|0.500|1.3500
curve|210600|1|0.625|1.3125
curve|226800|1|0.750|1.2750
curve|243000|1|0.875|1.2375
curve|259200|2|0.000|1.2000
curve|275400|2|0.125|1.0875
curve|291600|2|0.250|0.9750
curve|307800|2|0.375|0.8625
curve|324000|2|0.500|0.7500
curve|340200|2|0.625|0.6375
curve|356400|2|0.750|0.5250
curve|372600|2|0.875|0.4125
curve|388800|3|0.000|0.3000
curve|405000|3|0.125|0.4000
curve|421200|3|0.250|0.5000
curve|437400|3|0.375|0.6000
curve|453600|3|0.500|0.7000
curve|469800|3|0.625|0.8000
curve|486000|3|0.750|0.9000
curve|502200|3|0.875|1.0000
curve|518400|0|0.000|1.1000
#
## ⑤ 世界層｜取樣=720|同tick離散=0.0000000000|PASS|production-vs-函數偏差=0.0000000000|PASS
# ★A 是亂擲移除的直接證據（舊寫法每 tile 獨立擲，同 tick 必然不同）
# ★★B 防「我的副本對、production 是另一回事」——沒有它，①②③ 全過也證不到 production
# ★★★世界層是每 360 tick 的取樣保持 ⇒ 階高上界 0.002500 —— 「連續」是函數層的性質，不是世界層的
# ★總判：PASS
